show_id,type,date_added,release_year,rating,duration
s392,TV Show,"July 26, 2021",2020,TV-MA,4 Seasons
s393,Movie,"July 24, 2021",2012,R,165 min
s394,Movie,"July 23, 2021",2021,PG,91 min
s395,Movie,"July 23, 2021",2021,TV-MA,97 min
s396,Movie,"July 23, 2021",2021,TV-MA,97 min
s397,Movie,"July 23, 2021",2021,TV-MA,123 min
s398,TV Show,"July 23, 2021",2021,TV-MA,1 Season
s399,Movie,"July 23, 2021",2021,TV-MA,94 min
s400,TV Show,"July 23, 2021",2021,TV-PG,1 Season
s401,TV Show,"July 23, 2021",2021,TV-PG,1 Season
s402,TV Show,"July 23, 2021",2021,TV-MA,2 Seasons
s403,Movie,"July 23, 2021",2021,TV-MA,111 min
s404,TV Show,"July 23, 2021",2021,TV-MA,2 Seasons
s405,Movie,"July 22, 2021",2021,TV-MA,85 min
s406,Movie,"July 22, 2021",2015,TV-Y,65 min
s407,Movie,"July 22, 2021",2013,TV-Y7,64 min
s408,Movie,"July 22, 2021",2009,TV-Y7,68 min
s409,Movie,"July 22, 2021",2011,TV-Y7,67 min
s410,Movie,"July 22, 2021",2010,TV-Y7,66 min
s411,Movie,"July 22, 2021",2013,TV-Y7,64 min
s412,Movie,"July 22, 2021",2013,TV-Y7,64 min
s413,Movie,"July 22, 2021",2013,TV-Y7,65 min
s414,Movie,"July 22, 2021",2013,TV-Y7,64 min
s415,Movie,"July 22, 2021",2012,TV-Y7,68 min
s416,Movie,"July 22, 2021",2009,TV-Y7,68 min
s417,Movie,"July 22, 2021",2013,TV-Y7,64 min
s418,Movie,"July 22, 2021",2015,TV-Y7,62 min
s419,Movie,"July 22, 2021",2019,TV-Y,63 min
s420,Movie,"July 22, 2021",2010,TV-Y7,69 min
s421,Movie,"July 22, 2021",2012,TV-Y7,70 min
s422,Movie,"July 22, 2021",2014,TV-Y7,63 min
s423,Movie,"July 22, 2021",2011,TV-Y7,68 min
s424,Movie,"July 22, 2021",2011,TV-Y7,74 min
s425,Movie,"July 22, 2021",2012,TV-Y7,68 min
s426,TV Show,"July 22, 2021",2019,TV-14,5 Seasons
s427,Movie,"July 22, 2021",2021,TV-MA,99 min
s428,Movie,"July 22, 2021",2019,TV-14,90 min
s429,Movie,"July 22, 2021",2021,TV-G,87 min
s430,Movie,"July 21, 2021",2020,TV-14,105 min
s431,TV Show,"July 21, 2021",2021,TV-14,1 Season
s432,TV Show,"July 21, 2021",2021,TV-MA,1 Season
s433,Movie,"July 21, 2021",2021,TV-Y7,106 min
s434,Movie,"July 20, 2021",2020,TV-MA,102 min
s435,TV Show,"July 20, 2021",2020,TV-MA,1 Season
s436,TV Show,"July 20, 2021",2019,TV-MA,1 Season
s437,Movie,"July 19, 2021",2021,TV-14,91 min
s438,Movie,"July 17, 2021",2021,R,88 min
s439,Movie,"July 16, 2021",2020,TV-PG,107 min
s440,Movie,"July 16, 2021",2021,TV-MA,101 min
s441,TV Show,"July 16, 2021",2021,TV-MA,3 Seasons
s442,Movie,"July 16, 2021",2021,R,114 min
s443,TV Show,"July 16, 2021",2021,TV-Y7,1 Season
s444,Movie,"July 16, 2021",1999,R,123 min
s445,TV Show,"July 16, 2021",2021,TV-14,1 Season
s446,Movie,"July 16, 2021",2017,R,94 min
s447,Movie,"July 16, 2021",2017,PG-13,105 min
s448,Movie,"July 16, 2021",2011,PG-13,117 min
s449,Movie,"July 16, 2021",2012,PG-13,115 min
s450,Movie,"July 16, 2021",2010,PG-13,124 min
s451,Movie,"July 16, 2021",2009,PG-13,131 min
s452,Movie,"July 16, 2021",2008,PG-13,122 min
s453,Movie,"July 15, 2021",2021,TV-PG,113 min
s454,TV Show,"July 15, 2021",2021,TV-MA,2 Seasons
s455,Movie,"July 15, 2021",1983,TV-MA,91 min
s456,Movie,"July 15, 2021",2021,TV-MA,100 min
s457,TV Show,"July 15, 2021",2019,TV-14,1 Season
s458,Movie,"July 15, 2021",2021,TV-PG,93 min
s459,Movie,"July 15, 2021",2021,TV-14,90 min
s460,TV Show,"July 15, 2021",2021,TV-14,2 Seasons
s461,Movie,"July 15, 2021",2007,PG,86 min
s462,Movie,"July 15, 2021",2019,TV-14,100 min
s463,Movie,"July 15, 2021",2019,TV-MA,96 min
s464,Movie,"July 14, 2021",2021,TV-MA,95 min
s465,Movie,"July 14, 2021",2021,R,115 min
s466,TV Show,"July 14, 2021",2021,TV-MA,1 Season
s467,TV Show,"July 14, 2021",2021,TV-MA,1 Season
s468,Movie,"July 14, 2021",2021,TV-MA,100 min
s469,Movie,"July 14, 2021",2021,TV-MA,102 min
s470,Movie,"July 13, 2021",2019,TV-MA,87 min
s471,Movie,"July 13, 2021",2021,TV-14,39 min
s472,Movie,"July 13, 2021",2021,TV-PG,110 min
s473,TV Show,"July 13, 2021",2021,TV-Y,1 Season
s474,Movie,"July 12, 2021",2020,TV-MA,93 min
s475,Movie,"July 10, 2021",2015,R,96 min
s476,Movie,"July 10, 2021",2019,TV-MA,93 min
s477,Movie,"July 10, 2021",2016,TV-MA,93 min
